Country,Year,Outbound Tourists,Tourist Expenditure (USD),Unemployment rates
Greece,2014,5802285.2,"4,003.9",26.5
Greece,2015,6291013.9,"3,537.9",24.9
Greece,2016,7234528.3,"3,410.9",23.6
Greece,2017,7685308.0,"3,298.4",21.5
Greece,2018,7960984.8,"3,913.7",19.3
Greece,2019,7847722.9,"4,214.2",17.3
Greece,2020,2324191.9,"6,114.3",16.3
Greece,2021,2026163.653,"2,236",14.8
Greece,2022,5094106.237,"3,592.2",12.4
Hungary,2011,8043000.0,"7,276.3",10.7
Hungary,2012,7737000.0,"6,156.7",10.7
Hungary,2013,8191000.0,"6,675.4",9.8
Hungary,2014,8933000.0,"7,483.4",7.5
Hungary,2015,9705000.0,"6,934.2",6.6
Hungary,2016,10168000.0,"7,468.6",5.0
Hungary,2017,10874000.0,"8,377.3",4.0
Hungary,2018,15797914.5,"9,654.9",3.6
Hungary,2019,20721829.0,"3,359.9",3.3
Hungary,2020,8782000.0,"4,191.5",4.1
Hungary,2021,8753000.0,"5,704",4.1
Hungary,2022,13969000.0,"9,098.5",3.6
Ireland,2011,6293000.0,"9,466.814",15.4
Ireland,2012,6325000.0,"9,304.4",15.5
Ireland,2013,6323000.0,"6,312.6",13.8
Ireland,2014,6515000.0,"6,525.6",11.9
Ireland,2015,6965000.0,"5,799.4",9.9
Ireland,2016,7405000.0,"6,317.1",8.4
Ireland,2017,7939000.0,"6,661.8",6.8
Ireland,2018,8276000.0,"7,743.5",5.8
Ireland,2019,8814000.0,"8,350.1",5.0
Ireland,2020,5564000.0,"4,701.2",5.8
Ireland,2021,2314000.0,"5,263.2",6.3
Ireland,2022,10077000.0,"8,531.8",4.5
Israel,2011,4387200.0,"5,886.4",7.1
Israel,2012,4348600.0,"6,183.1",6.9
Israel,2013,4756700.0,"6,599.8",6.2
Israel,2014,5180700.0,"6,616.2",5.9
Israel,2015,5891100.0,"7,507",5.3
Israel,2016,6780900.0,"8,210.3",4.8
Israel,2017,7597400.0,"8,986",4.2
Israel,2018,8472700.0,"9,974.7",4.0
Israel,2019,9178600.0,"8,458.8",3.8
Israel,2020,1543800.0,"2,660.7",4.3
Israel,2021,3022300.0,"3,888.5",5.0
Italy,2011,52617324.07,"45,114.2",8.6
Italy,2012,53338076.56,"43,268.4",10.9
Italy,2013,52633272.05,"46,271",12.4
Italy,2014,55169361.47,"47,777.5",12.8
Italy,2015,57418064.0,"41,537.1",12.0
Italy,2016,57479628.0,"42,338.4",11.7
Italy,2017,60042386.963,"46,360.2",11.3
Italy,2018,61194642.534,"51,796.4",10.6
Italy,2019,62207391.968,"51,988.2",9.9
Italy,2020,21448184.549,"20,226.2",9.4
Italy,2021,17587716.581,"25,541.7",9.5
Italy,2022,46695169.478,"47,772.7",8.1
Japan,2011,16994200.0,"39,686.4",4.6
Japan,2012,18490657.0,"40,933.6",4.3
Japan,2013,17472748.0,"32,227.1",4.0
Japan,2014,16903388.0,"28,536.9",3.6
Japan,2015,16213789.0,"27,300.6",3.4
Japan,2016,17116420.0,"33,382.8",3.1
Japan,2017,17889292.0,"36,967.1",2.8
Japan,2018,18954031.0,"45,276.1",2.4
Japan,2019,20080669.0,"49,209.8",2.4
Japan,2020,3174219.0,"6,835.8",2.8
Japan,2021,512244.0,"5,355.6",2.8
Japan,2022,2771770.0,"5,962.2",2.6
Korea,2011,12693733.0,"22,195.3",
Korea,2012,13736976.0,"22,934.2",
Korea,2013,14846485.0,"24,458.4",
Korea,2014,16080684.0,"26,135.6",
Korea,2015,19310430.0,"27,957.3",
Korea,2016,22383190.0,"29,817.3",
Korea,2017,26496447.0,"34,453.1",
Korea,2018,28695983.0,"38,021.7",
Korea,2019,28714247.0,"35,339.5",
Korea,2020,4276006.0,"16,647.1",
Korea,2021,1222541.0,"18,343.2",
Korea,2022,6554031.0,"21,310.3",
Latvia,2011,3257000.0,924,16.2
Latvia,2012,2516824.0,866.2,15.0
Latvia,2013,1776648.0,897.4,11.9
Latvia,2014,1846440.0,890.1,10.8
Latvia,2015,1719273.0,803.3,9.9
Latvia,2016,1938524.0,883.3,9.6
Latvia,2017,2055608.0,920.8,8.7
Latvia,2018,2175695.0,"1,630.9",7.4
Latvia,2019,2384073.0,975.1,6.3
Latvia,2020,689287.0,942.4,8.1
Latvia,2021,629279.0,842,7.6
Latvia,2022,1729031.0,"1,772.3",6.9
Lithuania,2011,4021000.0,973.1,15.4
Lithuania,2012,4108000.0,"1,436.4",13.4
